preCost,cost,itemDescription
0.71,7.1,tropical fruit
0.814,8.14,whole milk
0.844,8.44,pip fruit
0.029,0.29,other vegetables
0.918,9.18,whole milk
0.01,0.1,rolls/buns
0.724,7.24,other vegetables
0.842,8.42,pot plants
0.811,8.11,whole milk
0.353,3.53,tropical fruit
0.815,8.15,citrus fruit
0.071,0.71,beef
0.12,1.2,frankfurter
0.4,4,chicken
0.811,8.11,butter
0.869,8.69,fruit/vegetable juice
0.41,4.1,packaged fruit/vegetables
0.581,5.81,chocolate
0.684,6.84,specialty bar
0.465,4.65,other vegetables
0.475,4.75,butter milk
0.74,7.4,whole milk
0.23,2.3,tropical fruit
0.689,6.89,tropical fruit
0.044,0.44,bottled water
0.225,2.25,yogurt
0.743,7.43,sausage
0.873,8.73,other vegetables
0.094,0.94,brown bread
0.547,5.47,yogurt
0.41,4.1,hamburger meat
0.946,9.46,root vegetables
0.193,1.93,pork
0.422,4.22,beef
0.933,9.33,pastry
0.516,5.16,fruit/vegetable juice
0.901,9.01,canned beer
0.373,3.73,root vegetables
0.301,3.01,citrus fruit
0.831,8.31,sausage
0.734,7.34,tropical fruit
0.344,3.44,berries
0.311,3.11,canned beer
0.369,3.69,butter milk
0.167,1.67,coffee
0.194,1.94,pastry
0.983,9.83,rolls/buns
0.268,2.68,misc. beverages
0.61,6.1,root vegetables
0.53,5.3,sausage
0.707,7.07,canned beer
0.777,7.77,ham
0.639,6.39,turkey
0.276,2.76,whole milk
0.012,0.12,whole milk
0.571,5.71,packaged fruit/vegetables
0.184,1.84,rolls/buns
0.954,9.54,ham
0.205,2.05,rolls/buns
0.894,8.94,other vegetables
0.705,7.05,sausage
0.229,2.29,sausage
0.346,3.46,frankfurter
0.886,8.86,rolls/buns
0.95,9.5,whole milk
0.272,2.72,curd cheese
0.297,2.97,red/blush wine
0.151,1.51,sausage
0.629,6.29,tropical fruit
0.89,8.9,red/blush wine
0.575,5.75,whole milk
0.876,8.76,frankfurter
0.536,5.36,whole milk
0.023,0.23,frozen potato products
0.488,4.88,other vegetables
0.564,5.64,citrus fruit
0.976,9.76,flour
0.574,5.74,sugar
0.432,4.32,frozen meals
0.904,9.04,chocolate
0.324,3.24,root vegetables
0.238,2.38,root vegetables
0.124,1.24,herbs
0.695,6.95,bottled water
0.627,6.27,sausage
0.242,2.42,coffee
